,PLAYER,COLLEGE,YEAR,totals
66,NA,North Carolina,1966,0
67,NA,North Carolina,1967,0
68,NA,North Carolina,1968,0
69,NA,North Carolina,1969,0
70,NA,North Carolina,1970,0
71,NA,North Carolina,1971,0
5,Bob McAdoo,North Carolina,1972,1
72,NA,North Carolina,1973,1
6,Bobby Jones,North Carolina,1974,2
73,NA,North Carolina,1975,2
7,Mitch Kupchak,North Carolina,1976,3
8,Walter Davis,North Carolina,1977,4
9,Tom LaGarde,North Carolina,1977,5
10,Phil Ford,North Carolina,1978,6
11,Dudley Bradley,North Carolina,1979,7
12,Mike O'Koren,North Carolina,1980,8
13,Al Wood,North Carolina,1981,9
14,James Worthy,North Carolina,1982,10
74,NA,North Carolina,1983,10
15,Michael Jordan,North Carolina,1984,11
16,Sam Perkins,North Carolina,1984,12
75,NA,North Carolina,1985,12
17,Brad Daugherty,North Carolina,1986,13
18,Kenny Smith,North Carolina,1987,14
19,Joe Wolf,North Carolina,1987,15
76,NA,North Carolina,1988,15
20,J.R. Reid,North Carolina,1989,16
77,NA,North Carolina,1990,16
21,Rick Fox,North Carolina,1991,17
22,Pete Chilcutt,North Carolina,1991,18
23,Hubert Davis,North Carolina,1992,19
24,George Lynch,North Carolina,1993,20
25,Eric Montross,North Carolina,1994,21
26,Jerry Stackhouse,North Carolina,1995,22
27,Rasheed Wallace,North Carolina,1995,23
78,NA,North Carolina,1996,23
79,NA,North Carolina,1997,23
28,Antawn Jamison,North Carolina,1998,24
29,Vince Carter,North Carolina,1998,25
80,NA,North Carolina,1999,25
81,NA,North Carolina,2000,25
30,Brendan Haywood,North Carolina,2001,26
31,Joseph Forte,North Carolina,2001,27
82,NA,North Carolina,2002,27
83,NA,North Carolina,2003,27
84,NA,North Carolina,2004,27
32,Marvin Williams,North Carolina,2005,28
33,Raymond Felton,North Carolina,2005,29
34,Sean May,North Carolina,2005,30
35,Rashad McCants,North Carolina,2005,31
85,NA,North Carolina,2006,31
36,Brandan Wright,North Carolina,2007,32
86,NA,North Carolina,2008,32
37,Tyler Hansbrough,North Carolina,2009,33
38,Ty Lawson,North Carolina,2009,34
39,Wayne Ellington,North Carolina,2009,35
40,Ed Davis,North Carolina,2010,36
87,NA,North Carolina,2011,36
41,Harrison Barnes,North Carolina,2012,37
42,Kendall Marshall,North Carolina,2012,38
43,John Henson,North Carolina,2012,39
44,Tyler Zeller,North Carolina,2012,40
45,Reggie Bullock,North Carolina,2013,41
88,NA,North Carolina,2014,41
89,NA,North Carolina,2015,41
46,Brice Johnson,North Carolina,2016,42
47,Justin Jackson,North Carolina,2017,43
48,Tony Bradley,North Carolina,2017,44
90,NA,North Carolina,2018,44
49,Coby White,North Carolina,2019,45
50,Cameron Johnson,North Carolina,2019,46
51,Nassir Little,North Carolina,2019,47
52,Cole Anthony,North Carolina,2020,48
53,Day'Ron Sharpe,North Carolina,2021,49
4,Jack Marin,Duke,1966,1
63,NA,Duke,1967,1
64,NA,Duke,1968,1
65,NA,Duke,1969,1
66,NA,Duke,1970,1
67,NA,Duke,1971,1
68,NA,Duke,1972,1
69,NA,Duke,1973,1
70,NA,Duke,1974,1
71,NA,Duke,1975,1
72,NA,Duke,1976,1
5,Tate Armstrong,Duke,1977,2
73,NA,Duke,1978,2
6,Jim Spanarkel,Duke,1979,3
7,Mike Gminski,Duke,1980,4
74,NA,Duke,1981,4
75,NA,Duke,1982,4
76,NA,Duke,1983,4
77,NA,Duke,1984,4
78,NA,Duke,1985,4
8,Johnny Dawkins,Duke,1986,5
9,Mark Alarie,Duke,1986,6
79,NA,Duke,1987,6
80,NA,Duke,1988,6
10,Danny Ferry,Duke,1989,7
11,Alaa Abdelnaby,Duke,1990,8
81,NA,Duke,1991,8
12,Christian Laettner,Duke,1992,9
13,Bobby Hurley,Duke,1993,10
14,Grant Hill,Duke,1994,11
15,Cherokee Parks,Duke,1995,12
82,NA,Duke,1996,12
83,NA,Duke,1997,12
16,Roshown McLeod,Duke,1998,13
17,Elton Brand,Duke,1999,14
18,Trajan Langdon,Duke,1999,15
19,Corey Maggette,Duke,1999,16
20,William Avery,Duke,1999,17
84,NA,Duke,2000,17
21,Shane Battier,Duke,2001,18
22,Jay Williams,Duke,2002,19
23,Mike Dunleavy,Duke,2002,20
24,Dahntay Jones,Duke,2003,21
25,Luol Deng,Duke,2004,22
85,NA,Duke,2005,22
26,Shelden Williams,Duke,2006,23
27,JJ Redick,Duke,2006,24
86,NA,Duke,2007,24
87,NA,Duke,2008,24
28,Gerald Henderson,Duke,2009,25
88,NA,Duke,2010,25
29,Kyrie Irving,Duke,2011,26
30,Nolan Smith,Duke,2011,27
31,Austin Rivers,Duke,2012,28
32,Miles Plumlee,Duke,2012,29
33,Mason Plumlee,Duke,2013,30
34,Jabari Parker,Duke,2014,31
35,Rodney Hood,Duke,2014,32
36,Jahlil Okafor,Duke,2015,33
37,Justise Winslow,Duke,2015,34
38,Tyus Jones,Duke,2015,35
39,Brandon Ingram,Duke,2016,36
40,Jayson Tatum,Duke,2017,37
41,Luke Kennard,Duke,2017,38
42,Harry Giles III,Duke,2017,39
43,Marvin Bagley III,Duke,2018,40
44,Wendell Carter Jr.,Duke,2018,41
45,Grayson Allen,Duke,2018,42
46,Zion Williamson,Duke,2019,43
47,RJ Barrett,Duke,2019,44
48,Cam Reddish,Duke,2019,45
89,NA,Duke,2020,45
49,Jalen Johnson,Duke,2021,46