,Sub,Start,Stop,Player,Team,Stint,Time,Opponent
1,1,0,349,Caleb Love | 57 mins,FALSE,349,3449,Alabama
2,3,496,3594,Caleb Love | 57 mins,FALSE,3098,3449,Alabama
,,3594,3600,Caleb Love | 57 mins,,6,3449,
3,1,0,495,Leaky Black | 54 mins,FALSE,495,3374,Alabama
4,3,663,1623,Leaky Black | 54 mins,FALSE,960,3374,Alabama
,,1775,2423,Leaky Black | 54 mins,FALSE,648,3374,Alabama
5,5,2477,3596,Leaky Black | 54 mins,FALSE,1119,3374,Alabama
6,1,0,495,RJ Davis | 50 mins,FALSE,495,2814,Alabama
7,3,626,911,RJ Davis | 50 mins,FALSE,285,2814,Alabama
8,5,1199,1566,RJ Davis | 50 mins,FALSE,367,2814,Alabama
9,7,1627,2699,RJ Davis | 50 mins,FALSE,1072,2814,Alabama
10,9,2700,3596,RJ Davis | 50 mins,FALSE,595,2814,Alabama
11,1,351,661,Puff Johnson | 48 mins,FALSE,310,2567,Alabama
12,3,913,1198,Puff Johnson | 48 mins,FALSE,285,2567,Alabama
13,5,1324,3600,Puff Johnson | 48 mins,FALSE,2276,2567,Alabama
14,1,0,495,Armando Bacot | 39 mins,FALSE,495,1976,Alabama
15,3,635,781,Armando Bacot | 39 mins,FALSE,146,1976,Alabama
16,5,1199,1864,Armando Bacot | 39 mins,FALSE,665,1976,Alabama
,,1938,2934,Armando Bacot | 39 mins,FALSE,1061,1976,Alabama
18,9,3223,3235,Armando Bacot | 39 mins,FALSE,12,1976,Alabama
20,1,0,349,Pete Nance | 25 mins,FALSE,349,1686,Alabama
21,3,496,633,Pete Nance | 25 mins,FALSE,137,1686,Alabama
22,5,783,980,Pete Nance | 25 mins,FALSE,197,1686,Alabama
23,7,1199,1323,Pete Nance | 25 mins,FALSE,124,1686,Alabama
,,1856,1872,Pete Nance | 25 mins,FALSE,16,1686,Alabama
24,9,2934,3221,Pete Nance | 25 mins,FALSE,520,1686,Alabama
25,11,3237,3596,Pete Nance | 25 mins,FALSE,359,1686,Alabama
,,3596,3600,Pete Nance | 25 mins,FALSE,4,1686,Alabama
26,1,351,624,D'Marco Dunn | 16 mins,FALSE,273,1442,Alabama
27,3,913,1198,D'Marco Dunn | 16 mins,FALSE,285,1442,Alabama
28,5,1567,1864,D'Marco Dunn | 16 mins,FALSE,297,1442,Alabama
29,7,2424,2476,D'Marco Dunn | 16 mins,FALSE,52,1442,Alabama
30,1,496,911,Seth Trimble | 7 mins,FALSE,415,417,Alabama
31,1,1198,1201,Seth Trimble | 7 mins,FALSE,3,417,Alabama
32,1,3592,3594,Seth Trimble | 7 mins,FALSE,2,417,Alabama
33,1,1048,1173,Dontrez Styles | 2 mins,FALSE,125,150,Alabama
34,1,982,1047,Justin McKoy | 1 min,FALSE,65,65,Alabama
35,1,3592,3594,Justin McKoy | 1 min,FALSE,2,1,Alabama
36,1,1173,1198,Will Shaver | 25 secs,FALSE,25,25,Alabama