G,Date,,Opp,W/L,FG,FGA,FG%,AST,TOV
1,11/7/22,,UNC Wilmington,W,22,48,0.458,4,8
2,11/11/22,,College of Charleston,W,35,58,0.603,16,8
3,11/15/22,,Gardner-Webb,W,23,60,0.383,8,10
4,11/20/22,,James Madison,W,27,61,0.443,14,12
5,11/24/22,N,Portland,W,31,58,0.534,17,13
6,11/25/22,N,Iowa State,L,22,50,0.44,12,14
7,11/27/22,N,Alabama,L (4 OT),38,91,0.418,15,18
8,11/30/22,@,Indiana,L,20,59,0.339,5,9
9,12/4/22,@,Virginia Tech,L,24,51,0.471,6,10
10,12/10/22,,Georgia Tech,W,27,57,0.474,15,11
11,12/13/22,,The Citadel,W,32,65,0.492,24,12
,,,,,,,,,